DOI,AUTHOR_NAME,AUTHOR_ORDER,AFFILIATION,TITLE,DATE,VOLUME,ISSUE,PAGES,KEYWORDS
"10.1123/jsm.22.6.677
",John M. Amis,additional,3University of Memphis,A Method to March Madness? Institutional Logics and the 2006 National Collegiate Athletic Association Division I Men’s Basketball Tournament,NA,22,6,677-700,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.22.6.677
",Crystal Southall,additional,4University of Northern Colorado,A Method to March Madness? Institutional Logics and the 2006 National Collegiate Athletic Association Division I Men’s Basketball Tournament,NA,22,6,677-700,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2015-0230
",Brian M. Mills,first,1University of Florida,NBA Primary Market Ticket Consumers: Ex Ante Expectations and Consumer Market Origination,NA,30,5,538-552,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2015-0230
",Steven Salaga,additional,2Texas A&M University,NBA Primary Market Ticket Consumers: Ex Ante Expectations and Consumer Market Origination,NA,30,5,538-552,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2015-0230
",Scott Tainsky,additional,3University of Illinois,NBA Primary Market Ticket Consumers: Ex Ante Expectations and Consumer Market Origination,NA,30,5,538-552,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.25.1.11
",Chengli Tien,first,1National Taiwan Normal University,The Economic Benefits of Mega Events: A Myth or a Reality? A Longitudinal Study on the Olympic Games,NA,25,1,11-23,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.25.1.11
",Huai-Chun Lo,additional,2Yuan Ze University,The Economic Benefits of Mega Events: A Myth or a Reality? A Longitudinal Study on the Olympic Games,NA,25,1,11-23,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.25.1.11
",Hsiou-Wei Lin,additional,3National Taiwan University,The Economic Benefits of Mega Events: A Myth or a Reality? A Longitudinal Study on the Olympic Games,NA,25,1,11-23,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2021-0231
",Bradley J. Baker,first,"1Temple University, Philadelphia, PA, USA",Remapping the Sport Brandscape: A Structured Review and Future Direction for Sport Brand Research,NA,36,3,251-264,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2021-0231
",Thilo Kunkel,additional,"1Temple University, Philadelphia, PA, USA",Remapping the Sport Brandscape: A Structured Review and Future Direction for Sport Brand Research,NA,36,3,251-264,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2021-0231
",Jason P. Doyle,additional,"2Griffith University, Gold Coast, QLD, Australia",Remapping the Sport Brandscape: A Structured Review and Future Direction for Sport Brand Research,NA,36,3,251-264,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2021-0231
",Yiran Su,additional,"3University of Georgia, Athens, GA, USA",Remapping the Sport Brandscape: A Structured Review and Future Direction for Sport Brand Research,NA,36,3,251-264,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2021-0231
",Nataliya Bredikhina,additional,"1Temple University, Philadelphia, PA, USA",Remapping the Sport Brandscape: A Structured Review and Future Direction for Sport Brand Research,NA,36,3,251-264,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2021-0231
",Rui Biscaia,additional,"4University of Bath, Bath, United Kingdom",Remapping the Sport Brandscape: A Structured Review and Future Direction for Sport Brand Research,NA,36,3,251-264,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2016-0047
",Laura J. Burton,first,1University of Connecticut,The Role of Servant Leadership in Developing an Ethical Climate in Sport Organizations,NA,31,3,229-240,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2016-0047
",Jon Welty Peachey,additional,2University of Illinois,The Role of Servant Leadership in Developing an Ethical Climate in Sport Organizations,NA,31,3,229-240,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2016-0047
",Janelle E. Wells,additional,3University of South Florida,The Role of Servant Leadership in Developing an Ethical Climate in Sport Organizations,NA,31,3,229-240,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.10.4.417
",George R. Milne,first,1University of Massachusetts at Amherst,A Niche-Based Evaluation of Sport Participation Patterns,NA,10,4,417-434,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.10.4.417
",Mark A. McDonald,additional,1University of Massachusetts at Amherst,A Niche-Based Evaluation of Sport Participation Patterns,NA,10,4,417-434,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.10.4.417
",William A. Button,additional,1University of Massachusetts at Amherst,A Niche-Based Evaluation of Sport Participation Patterns,NA,10,4,417-434,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.10.4.417
",Rajiv Kashyap,additional,1University of Massachusetts at Amherst,A Niche-Based Evaluation of Sport Participation Patterns,NA,10,4,417-434,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2018-0300
",Chad Seifried,first,Louisiana State University,Traditional and Integrated PhD Curricula: A Study of Knowledge Creation Produced by Sport Management Programs and Their Faculty,NA,33,3,229-241,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2018-0300
",Chris Barnhill,additional,Georgia Southern University,Traditional and Integrated PhD Curricula: A Study of Knowledge Creation Produced by Sport Management Programs and Their Faculty,NA,33,3,229-241,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2018-0300
",J. Michael Martinez,additional,Louisiana State University,Traditional and Integrated PhD Curricula: A Study of Knowledge Creation Produced by Sport Management Programs and Their Faculty,NA,33,3,229-241,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.25.2.107
",Earl Smith,first,1Wake Forest University,Race Relations Theories: Implications for Sport Management,NA,25,2,107-117,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.25.2.107
",Angela Hattery,additional,1Wake Forest University,Race Relations Theories: Implications for Sport Management,NA,25,2,107-117,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.9.2.173
",Susan Hofacre,first,1Robert Morris College,Baseball Front Office Careers: Expectations and Realities,NA,9,2,173-181,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.9.2.173
",Scott Branvold,additional,1Robert Morris College,Baseball Front Office Careers: Expectations and Realities,NA,9,2,173-181,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.25.6.531
",Yuhei Inoue,first,1University of Memphis,CSR and the Bottom Line: Analyzing the Link Between CSR and Financial Performance for Professional Teams,NA,25,6,531-549,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.25.6.531
",Aubrey Kent,additional,2Temple University,CSR and the Bottom Line: Analyzing the Link Between CSR and Financial Performance for Professional Teams,NA,25,6,531-549,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.25.6.531
",Seoki Lee,additional,2Temple University,CSR and the Bottom Line: Analyzing the Link Between CSR and Financial Performance for Professional Teams,NA,25,6,531-549,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.19.4.355
",John Amis,first,1University of Memphis,Rupture: Promoting Critical and Innovative Approaches to the Study of Sport Management,NA,19,4,355-366,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.19.4.355
",Michael Silk,additional,2University of Maryland,Rupture: Promoting Critical and Innovative Approaches to the Study of Sport Management,NA,19,4,355-366,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.19.4.523
",George B. Cunningham,first,1Texas A&M University,The Psychology and Management of Workplace Diversity,NA,19,4,523-525,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.19.4.523
",Melanie L. Sartore,additional,1Texas A&M University,The Psychology and Management of Workplace Diversity,NA,19,4,523-525,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.9.3.338
",Gordon A. Olafson,first,1University of Windsor,Sport Management Research: Ordered Change,NA,9,3,338-345,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.25.2.156
",Andrea M. Eagleman,first,1Indiana University-Purdue University Indianapolis,Stereotypes of Race and Nationality: A Qualitative Analysis of Sport Magazine Coverage of MLB Players,NA,25,2,156-168,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.9.2.194
",Joanne C. MacLean,first,1University of Windsor,Dimensions of Coaching Performance: Development of a Scale,NA,9,2,194-207,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.9.2.194
",Packianathan Chelladurai,additional,2The Ohio State University,Dimensions of Coaching Performance: Development of a Scale,NA,9,2,194-207,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.25.2.131
",Matthew Nicholson,first,1La Trobe University,The Provision of Social Support for Elite Indigenous Athletes in Australian Football,NA,25,2,131-142,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.25.2.131
",Russell Hoye,additional,1La Trobe University,The Provision of Social Support for Elite Indigenous Athletes in Australian Football,NA,25,2,131-142,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.25.2.131
",David Gallant,additional,1La Trobe University,The Provision of Social Support for Elite Indigenous Athletes in Australian Football,NA,25,2,131-142,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.19.3.254
",Julie Stevens,first,1Brock University,Tracking Generation Y: A Contemporary Sport Consumer Profile,NA,19,3,254-277,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.19.3.254
",Anna Lathrop,additional,1Brock University,Tracking Generation Y: A Contemporary Sport Consumer Profile,NA,19,3,254-277,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.19.3.254
",Cheri Bradish,additional,1Brock University,Tracking Generation Y: A Contemporary Sport Consumer Profile,NA,19,3,254-277,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.19.2.143
",Bill Gerrard,first,1University of Leeds,A Resource-Utilization Model of Organizational Efficiency in Professional Sports Teams,NA,19,2,143-169,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.19.2.193
",Brian A. Turner,first,1The Ohio State University,"Organizational and Occupational Commitment, Intention to Leave, and Perceived Performance of Intercollegiate Coaches",NA,19,2,193-211,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.19.2.193
",Packianathan Chelladurai,additional,1The Ohio State University,"Organizational and Occupational Commitment, Intention to Leave, and Perceived Performance of Intercollegiate Coaches",NA,19,2,193-211,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2019-0294
",Brian P. McCullough,first,1Seattle University,Sport Ecology: Conceptualizing an Emerging Subdiscipline Within Sport Management,NA,34,6,509-520,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2019-0294
",Madeleine Orr,additional,2University of Minnesota,Sport Ecology: Conceptualizing an Emerging Subdiscipline Within Sport Management,NA,34,6,509-520,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2019-0294
",Timothy Kellison,additional,3Georgia State University,Sport Ecology: Conceptualizing an Emerging Subdiscipline Within Sport Management,NA,34,6,509-520,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2012-0295
",Daniel J. Larson,first,1University of Oklahoma,Uncertainty of Outcome and Radio Policy in Professional Road Cycling,NA,28,3,311-323,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2012-0295
",Joel Maxcy,additional,2Temple University,Uncertainty of Outcome and Radio Policy in Professional Road Cycling,NA,28,3,311-323,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2013-0294
",Stacy-Lynn Sant,first,1University of Alberta,Framing Event Legacy in a Prospective Host City: Managing Vancouver’s Olympic Bid,NA,29,1,42-56,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
